10-09-2015	git Version:  ad9e04a
id	name	defn	synonyms	is_a id	is_a name
PO:0000001	plant embryo proper	An embryonic plant structure (PO:0025099) that is the body of a developing plant embryo (PO:0009009) attached to the maternal tissue in an plant ovule (PO:0020003) by a suspensor (PO:0020108).	embri&#243foro (Spanish) EXACT; 胚本体 (Japanese) EXACT	PO:0025099	embryo plant structure
PO:0000002	anther wall	A microsporangium wall (PO:0025307) that is part of an anther (PO:0009066).	pared de la antera (Spanish) EXACT; Poaceae anther wall NARROW; pollen sac wall EXACT; Zea anther wall NARROW; 葯壁 (Japanese) EXACT	PO:0025307	microsporangium wall
PO:0000003	whole plant	A plant structure (PO:0005679) which is a whole organism.	bush NARROW; clonal colony RELATED; colony RELATED; frutex NARROW; frutices NARROW Plural; gametophyte NARROW; genet BROAD; herb NARROW; liana NARROW; planta entera (Spanish) EXACT; prothalli NARROW Plural; prothallium NARROW; prothallus NARROW; ramet BROAD; seedling NARROW; shrub NARROW; sporophyte NARROW; suffrutex NARROW; suffrutices NARROW Plural; tree NARROW; vine NARROW; woody clump NARROW; 植物体全体 (Japanese) EXACT	PO:0009011	plant structure
PO:0000004	in vitro plant structure	A plant structure (PO:0009011) that is grown or maintained in vitro.	estructura vegetal in vito (Spanish) EXACT; 培養下植物構造 (Japanese) EXACT	PO:0009011	plant structure
PO:0000005	cultured plant cell	A plant cell (PO:0009002) that is grown or maintained in vitro.	c&#233lula cultivada (Spanish) EXACT; cell suspension RELATED; cultured cell BROAD; 培養植物細胞 (Japanese) EXACT	PO:0000004; PO:0009002	in vitro plant structure; plant cell
PO:0000006	plant protoplast	A cultured plant cell from which the entire plant cell wall has been removed.	protoplast BROAD; protoplasto cultivado (Spanish) EXACT; 植物プロトプラスト (Japanese) EXACT	PO:0000005	cultured plant cell
PO:0000007	leaf-derived cultured plant cell	A cultured plant cell that was derived from leaf tissue.	c&#233lula cultivada de hoja (Spanish) EXACT; cultured plant cell RELATED; leaf-derived cultured cell EXACT; 葉由来植物培養細胞 (Japanese) EXACT	PO:0000005	cultured plant cell
PO:0000008	root-derived cultured plant cell	A cultured plant cell that was derived from root tissue.	c&#233lula cultivada de ra&#237z (Spanish) EXACT; root-derived cultured cell EXACT; 根由来植物培養細胞 (Japanese) EXACT	PO:0000005	cultured plant cell
PO:0000009	cultured plant callus	A plant callus (PO:0005052) grown or maintained in vitro.	callo cultivado (Spanish) EXACT; cultured callus BROAD; 培養植物カルス (Japanese) EXACT	PO:0000004; PO:0005052	in vitro plant structure; plant callus
PO:0000010	cultured plant embryo	A plant embryo (PO:0009009) that is grown or maintained in vitro.	cultured embryo EXACT; embri&#243n cultivado (Spanish) EXACT; 培養植物胚 (Japanese) EXACT	PO:0000004; PO:0009009	in vitro plant structure; plant embryo
PO:0000011	cultured somatic plant embryo	A somatic plant embryo grown and maintained in vitro.	cultured somatic embryo BROAD; embri&#243n som&#225tico cultivado (Spanish) EXACT; 培養植物体細胞不定胚 (Japanese) EXACT	PO:0000010; PO:0025302	cultured plant embryo; somatic plant embryo
PO:0000012	apical hook	Hook-like structure which develops at the apical part of the hypocotyl in dark-grown seedlings in dicots.	gancho apical (Spanish) EXACT; hypocotyl hook RELATED; 頂端かぎ状屈曲構造 (Japanese) EXACT	PO:0025001	cardinal organ part
PO:0000013	cauline leaf	A vascular leaf (PO:0009025), borne on the stem (PO:0009047).	hoja caulinar (Spanish) EXACT; 茎生葉、茎葉 (Japanese) EXACT	PO:0009025	vascular leaf
PO:0000014	rosette leaf	A vascular leaf (PO:0009025) born in a circular pattern around a stem (PO:0009047) with compressed stem internodes (PO:0020142).	hoja en roseta (Spanish) EXACT; ロゼット葉 (Japanese) EXACT	PO:0009025	vascular leaf
PO:0000015	cotyledon primordium	A phyllome primordium (PO:0025128) that develops from a cotyledon anlagen (PO:0025432) and is part of a vegetative shoot apex (PO:0025223) and is committed to the development of a cotyledon (PO:0020030).	cotyledon primordia EXACT Plural; portion of cotyledon primordium tissue EXACT; primordio de cotiled&#243n (Spanish) EXACT; 子葉原基（可視的） (Japanese) EXACT	PO:0025128	phyllome primordium
PO:0000016	lateral root primordium	A root primordium (PO:0005029) that is part of a root (PO:0009005) and is committed to the development of a lateral root (PO:0020121).	portion of lateral root primordium tissue EXACT; primordio de ra&#237z lateral (Spanish) EXACT; 側根原基 (Japanese) EXACT	PO:0005029	root primordium
PO:0000017	vascular leaf primordium	A phyllome primordium (PO:0025128) that develops from a vascular leaf anlagen (PO:0025431) and is part of a vegetative shoot apex (PO:0025223) and is committed to the development of a vascular leaf (PO:0009025).	leaf primordium EXACT; portion of vascular leaf primordium tissue EXACT; primordio de hoja (Spanish) EXACT; vascular leaf primordia EXACT Plural; 葉原基 (Japanese) EXACT	PO:0025128	phyllome primordium
PO:0000018	ovule primordium	A floral structure primordium (PO:0025477) that is committed to the development of an ovule (PO:0020003).	portion of ovule primordium tissue EXACT; primordio de &#243vulo (Spanish) EXACT; 胚珠原基（可視的） (Japanese) EXACT	PO:0025477	floral organ primordium
PO:0000019	gynoecium primordium	A floral structure primordium (PO:0025477) that is committed to the development of a gynoecium (PO:0009062).	pistil primordium EXACT; portion of gynoecium primordium tissue EXACT; primordio de gineceo (Spanish) EXACT; 雌蕊原基(可視的）   (Japanese) EXACT	PO:0025477	floral organ primordium
PO:0000020	starch sheath cell	OBSOLETE. Cells characterized by conspicuous and rather stable accumulation of starch.	c&#233lula con almid&#243n de la vaina (Spanish) EXACT; デンプン鞘細胞 (Japanese) EXACT		
PO:0000021	petal primordium	A phyllome primordium (PO:0025128) that develops from a petal anlagen (PO:0025484) and is committed to the development of a petal (PO:0009032).	petal primordia EXACT Plural; portion of petal primordium tissue EXACT; primordio de p&#233talo (Spanish) EXACT; 花弁原基（可視的） (Japanese) EXACT	PO:0025128; PO:0025477	phyllome primordium; floral organ primordium
PO:0000022	plant cuticle	A portion of plant substance (PO:0025161) composed of cutin (PO:0025385), a polyester matrix of hydroxy- and hydroxy epoxy fatty acids C16 and C18 chains, embedded and overlayed with cuticular wax (PO:0025386) and forming a layer on the surface of a plant epidermis (PO:0005679).	cut&#237cula (Spanish) EXACT; cuticle BROAD; 植物クチクラ (Japanese) EXACT	PO:0025161	portion of plant substance
PO:0000023	casparian strip	OBSOLETE. A band-like wall formation within primary walls that contains suberin and lignin; typical of endodermal cells in roots, in which it occurs in radial and transverse anticlinal walls.	banda de caspary (Spanish) EXACT; カスパリー線 (Japanese) EXACT		
PO:0000024	filiform apparatus	OBSOLETE. A complex of cell wall invaginations in a synergid cell similar to those in transfer cells.	aparato filiforme (Spanish) EXACT; 繊形装置 (Japanese) EXACT		
PO:0000025	root tip	The apical most portion of the root (PO:0009005) including the root apical meristem (PO:0020147) and root cap (PO:0020123).	punta de la ra&#237z (Spanish) EXACT; 根端 (Japanese) EXACT	PO:0025001	cardinal organ part
PO:0000026	primary root tip	The portion of the primary root including the meristem and root cap.	punta de la ra&#237z primaria (Spanish) EXACT; 一次根端 (Japanese) EXACT	PO:0000025	root tip
PO:0000027	lateral root tip	A root tip (PO:0000025) of a lateral root (PO:0020121).	punta de la ra&#237z lateral (Spanish) EXACT; 側根端 (Japanese) EXACT	PO:0000025	root tip
PO:0000028	pollen tube tip	OBSOLETE. Tip portion of the pollen tube that is rapidly growing.	punta del tubo pol&#237nico (Spanish) EXACT; 花粉管先端部 (Japanese) EXACT		
PO:0000029	root hair tip	OBSOLETE. Tip portion of an outgrowth of a root epidermal cell.	punta del pelo de la ra&#237z (Spanish) EXACT; 根毛端 (Japanese) EXACT		
PO:0000030	septum	A collective organ part structure composed of two or more layers of various tissues that is a partition that divides a cavity formed by the fusion of two or more organs.	dissepiment BROAD; septa EXACT Plural; septo (Spanish) EXACT; 隔壁 (Japanese) EXACT	PO:0025269	collective organ part structure
