10-09-2015	git Version:  ad9e04a
id	name	defn	synonyms	is_a id	is_a name
PO:0001002	fruit development stage	A multi-tissue plant structure development stage (PO:0025571) that has as primary participant a single fruit (PO:0009001).	stage 17 flower in Arabidopsis RELATED; stage 18 flower in Arabidopsis RELATED; stage 19 flower in Arabidopsis RELATED; stage 20 flower in Arabidopsis RELATED	PO:0025571	multi-tissue plant structure development stage
PO:0001003	vascular leaf anlagen formation stage	A vascular leaf initiation stage (PO:0007040) during which the vascular leaf founder cells (PO:0025592) of the shoot apical meristem (PO:0020148) form a vascular leaf anlagen (PO:0025431).	P0 stage RELATED; vascular leaf founder cell formation stage EXACT	PO:0001051	vascular leaf initiation stage
PO:0001004	anther development stage	Stages of development of the anther defined by characteristic morphological, cytological, histological or other visible features.		PO:0007605	androecium development stage
PO:0001005	A archesporial cells visible stage	An initial stage during which archesporial cells arise in four corners of L2 layer. Change in shape of primordia to more oval.		PO:0001004	anther development stage
PO:0001006	B enlarged microsporocyte stage	Stage during which the microsporocytes become conspicuous.	pollen stage 2 in Arabidopsis RELATED	PO:0001007	pollen development stage
PO:0001007	pollen development stage	A microgametophyte development stage (PO:0025602) during which the pollen (PO:0025281) develops.	pollen development in Arabidopsis RELATED	PO:0025602	microgametophyte development stage
PO:0001008	C callose wall formation in pollen mother cells stage	Stage during which diploid pollen mother cells become separated from each other and from tapetum by a callose wall.	pollen mother cell stage RELATED; pollen stage 3 in Arabidopsis RELATED	PO:0001007	pollen development stage
PO:0001009	D pollen mother cell meiosis stage	Stage during which pollen mother cells undergo meiosis to form tetrads of microspores.	pollen stage 4 in Arabidopsis RELATED	PO:0001007	pollen development stage
PO:0001010	F microspore release stage	Stage of microgametophyte development during which the callose wall between the tetrads breaks down and haploid microspores are released and lie freely in locules.	pollen stage 5 in Arabidopsis RELATED	PO:0001007	pollen development stage
PO:0001011	A microsporogenous mass stage	An initial stage during which the archesporial cells divide to give rise to primary parietal and sporogenous cells.	pollen stage 1 in Arabidopsis RELATED	PO:0001007	pollen development stage
PO:0001012	G early unicellular microspore stage	Stage of microgametophyte development during which the microspores round up and small vacuoles appear in their cytoplasm. The microspore walls thicken due to the formation of the exine.	pollen stage 6 in Arabidopsis RELATED	PO:0001007	pollen development stage
PO:0001013	H late unicellular microspore stage	Stage of microgametophyte development during which a large vacuole is formed in each microspore causing a rapid increase in size and a displacement of the nucleus to one side.	pollen stage 7 in Arabidopsis RELATED	PO:0001007	pollen development stage
PO:0001014	I first mitotic division stage	Stage of microgametophyte development during which the asymmetric, first mitotic division of the microspores occurs producing a large vegetative cell and small generative cell, located near pollen wall.	pollen stage 8 in Arabidopsis RELATED	PO:0001007	pollen development stage
PO:0001015	K second mitotic division stage	A pollen development stage (PO:0001007) during which the generative cell (PO:0020097) undergoes mitotic division to form two male gametes, the pollen sperm cells (PO:0025121).	pollen stage 9 in Arabidopsis RELATED; tricellular pollen development stage EXACT; tricellular pollen stage EXACT	PO:0001007	pollen development stage
PO:0001016	L mature pollen stage	Stage of microgametophyte development during which the pollen reaches mature stage and desiccates.	pollen stage 10 in Arabidopsis RELATED	PO:0001007	pollen development stage
PO:0001017	M germinated pollen stage	The final stage in the life cycle of the male gametophyte. Upon rehydration, mature pollen grain forms a tubular outgrowth, the pollen tube, which carries the male gametes.	germinated pollen grain in Arabidopsis RELATED	PO:0001007	pollen development stage
PO:0001018	B formation of primary parietal and sporogenous cells stage	Stage during which the primary parietal and primary sporogenous layers are derived from archesporial cells.		PO:0001004	anther development stage
PO:0001019	vascular leaf primordium formation stage	A vascular leaf initiation stage (PO:0001051) during which a vascular leaf primordium (PO:0000017) forms in the peripheral zone (PO:0000225) of the vegetative shoot apical meristem (PO:0020148).	P1 stage RELATED	PO:0001051	vascular leaf initiation stage
PO:0001020	hood-shaped primordium stage	Stage of leaf development when a hood-shaped primordium is formed, partially enclosing P1 and SAM, as in Poaceae.	P2 stage RELATED	PO:0001052	vascular leaf expansion stage
PO:0001021	formation of ligule primordium stage	A vascular leaf expansion stage (PO:0001052) when conical P3 leaf completely encloses SAM, and the ligule (PO:0020105) primordium is visible.	P3 stage RELATED	PO:0001052	vascular leaf expansion stage
PO:0001023	rapid elongation of vascular leaf lamina stage	A vascular leaf expansion stage (PO:0001052) during which a rapid elongation of the leaf lamina (PO:0020039) occurs.	P4 stage RELATED	PO:0001052	vascular leaf expansion stage
PO:0001024	rapid elongation of leaf sheath stage	A vascular leaf expansion stage (PO:0001052) during which a rapid elongation of the leaf sheath (PO:0020104) occurs.	P5 stage RELATED	PO:0001052	vascular leaf expansion stage
PO:0001025	C four anther lobes formed stage	Stage during which the four-lobed anther pattern with two developing stomium regions (notch) are formed.		PO:0001004	anther development stage
PO:0001026	D locules established stage	Stage during which the four clearly defined locules are established. All anther cell types present and microspore mother cells appear.	stage 8 flower in Arabidopsis RELATED	PO:0001004	anther development stage
